feature,feature_value,mean_shap,std_shap
team_36,0,0.0017816935,0.0018845489
team_36,1,-0.16777985,0.16975115
team_37,0,-0.008012179,0.0027729701
team_37,1,0.9050343,0.24934718
team_38,0,-0.0013991958,0.0010447981
team_38,1,0.1992197,0.14401694
team_39,0,-0.0015786105,0.0010196583
team_39,1,0.21863581,0.15517701
team_40,0,-0.0020836873,0.002612085
team_40,1,0.10594593,0.16177963
team_41,0,0.001957775,0.002530628
team_41,1,-0.18172304,0.25916576
team_42,0,-0.0027507553,0.0015581374
team_42,1,0.40432823,0.19314735
team_43,0,0.0012338748,0.0021543533
team_43,1,-0.26151487,0.36320215
team_44,0,0.0024381059,0.002015763
team_44,1,-0.23062998,0.20291957
team_45,0,-5.9729366e-05,0.00035118303
team_45,1,-0.00071038905,0.043380935
team_46,0,0.002209625,0.00060668687
team_46,1,-0.29998106,0.0778647
team_47,0,-0.002857857,0.0022608466
team_47,1,0.34522548,0.21623842
team_48,0,-0.014109709,0.0041471045
team_48,1,0.7671816,0.24748099
team_49,0,-0.0033907243,0.001751062
team_49,1,0.4199032,0.21332887
team_50,0,0.0034180307,0.0033277522
team_50,1,-0.26495638,0.16233505
team_51,0,0.0051014423,0.0020396854
team_51,1,-0.5561618,0.21935707
team_52,0,-0.0016739701,0.002156638
team_52,1,0.34609553,0.25687337
team_53,0,0.0024260147,0.0026909045
team_53,1,-0.5443715,0.4051189
team_54,0,0.0012608196,0.0015711425
team_54,1,-0.10790983,0.10197162
team_55,0,0.0011313471,0.0009498888
team_55,1,-0.3021508,0.21023417
team_56,0,-0.0013926615,0.0014311827
team_56,1,0.21350445,0.27196306
team_57,0,-0.0037267345,0.001577421
team_57,1,0.87438613,0.25463793
team_58,0,0.005757144,0.0026152045
team_58,1,-0.82092565,0.40497813
team_59,0,0.004917533,0.0030720977
team_59,1,-0.6364473,0.36603767
team_60,0,0.0015383817,0.0010707491
team_60,1,-0.14566565,0.10200896
team_61,0,-0.0014334403,0.000738993
team_61,1,0.14301583,0.0746724
team_62,0,-0.0011163144,0.00096710434
team_62,1,0.21032695,0.19715706
team_63,0,-0.0019320049,0.00083090126
team_63,1,0.5390879,0.24944139
team_64,0,-0.0068499157,0.002740898
team_64,1,0.6226121,0.23432833
team_65,0,0.0024494466,0.0010584967
team_65,1,-0.8325157,0.33478978
team_66,0,-0.0005150134,0.0008660803
team_66,1,0.24596578,0.3358393
team_67,0,0.0019622697,0.0010457266
team_67,1,-0.28938663,0.14857431
team_68,0,0.0024470834,0.0026716506
team_68,1,-0.43391213,0.27450126
team_69,0,-0.0016585084,0.0021315604
team_69,1,0.23694737,0.25879228
team_70,0,-0.0017766688,0.0040513123
team_70,1,0.04692335,0.3343934
team_71,0,-0.016226988,0.004690603
team_71,1,0.9493601,0.2407751
team_72,0,-0.009232302,0.0033557834
team_72,1,1.1119249,0.4088284
team_73,0,-0.0044234875,0.003067968
team_73,1,0.34642738,0.22031398
team_74,0,0.0006667888,0.0018699486
team_74,1,-0.08223229,0.1443976
team_75,0,0.0030844992,0.0017789848
team_75,1,-0.34154716,0.16994487
team_76,0,0.0021960223,0.001167652
team_76,1,-0.62582475,0.2042946
team_77,0,0.00013325852,0.001568538
team_77,1,0.016847007,0.14329287
team_78,0,0.0023042362,0.0015915489
team_78,1,-0.30898985,0.18386589
team_79,0,-0.005537026,0.0028557768
team_79,1,0.36258325,0.22876
team_80,0,-0.0020522273,0.0015037246
team_80,1,0.712716,0.48532614
team_81,0,-0.00038629337,0.0011024247
team_81,1,0.045924254,0.15081762
team_82,0,0.00011918812,0.0019583232
team_82,1,-0.0276378,0.19560176
team_83,0,-0.007019672,0.0027425555
